Designator,Footprint,Quantity,Value,LCSC Part #
J1,SS60300002,1,SS-60300-002,
"J2, J3, J4, J5, J6, J7, J8, J9",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,8,AudioJack2_SwitchT,
